id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,word_count,quality_weight
214,By teh end I didn't notice strong emotions and I just observed it.,rain,25,6.0,2.0,2.0,morning,restless,tired_face,conflicted,neutral,2,13,3.0
215,Honestly my mood shifted back and forth which surprised me.,mountain,10,8.0,5.0,5.0,night,calm,neutral_face,vague,mixed,1,10,2.0
216,i noticed the tension eased a bit before moving on.,ocean,18,4.0,5.0,5.0,afternoon,mixed,tired_face,clear,calm,5,10,2.0
217,Gradually my thoughts were jumping around but it didn't last long.,ocean,8,8.0,5.0,5.0,morning,overwhelmed,calm_face,conflicted,restless,4,11,2.0
218,After a few minutes I kept thinking about other tasks and I just observed it.,rain,25,8.0,3.0,2.0,morning,restless,none,clear,restless,4,15,3.0
219,Strangely I felt a little calmer but still distracted and I just observed it. ...,mountain,10,4.0,2.0,1.0,evening,restless,happy_face,vague,mixed,3,15,3.0
220,During the session things felt more peaceful which surprised me.,ocean,12,7.0,4.0,4.0,night,restless,tired_face,conflicted,calm,4,10,2.0
221,during the session my mind kept wandering and i tried to notice it.,cafe,18,6.0,3.0,1.0,morning,restless,tense_face,vague,restless,5,13,3.0
222,Strangely it helped slightly but not completely though I'm not sure why.,mountain,18,7.0,3.0,1.0,morning,mixed,tense_face,conflicted,mixed,2,12,3.0
223,gradually my mind became quiet which surprised me.,ocean,12,7.0,5.0,1.0,afternoon,mixed,tense_face,vague,calm,4,8,2.0
224,Strangely the tension eased a bit though I'm not sure why.,cafe,8,4.0,2.0,4.0,night,neutral,tense_face,conflicted,calm,4,11,2.0
225,during the session i organized my ideas better so i sat with that feeling.,cafe,20,7.0,1.0,3.0,evening,mixed,,conflicted,focused,3,14,3.0
226,Strangely I kept thinking about other tasks even if only briefly.,ocean,10,7.0,1.0,3.0,evening,overwhelmed,happy_face,clear,restless,5,11,2.0
227,During the session my mind became quiet before moving on.,forest,8,5.0,3.0,1.0,night,overwhelmed,tense_face,clear,calm,5,10,2.0
228,Strangely I felt a little calmer but still distracted and I tried to notice it.,cafe,18,5.0,3.0,2.0,afternoon,restless,neutral_face,vague,mixed,5,15,3.0
229,During the session I couldn't sit still mentally even if only briefly.,forest,8,8.0,2.0,5.0,afternoon,focused,none,conflicted,restless,3,12,3.0
230,After a few minutes nothing really changed which surprised me.,forest,10,8.0,4.0,5.0,morning,overwhelmed,happy_face,vague,neutral,3,10,2.0
231,i noticed teh pressure didn't really go away before moving on.,ocean,15,7.0,2.0,3.0,afternoon,restless,tense_face,conflicted,overwhelmed,3,11,2.0
232,for some reason i felt mentally drained even if only briefly.,ocean,15,5.0,2.0,1.0,morning,restless,happy_face,vague,overwhelmed,2,11,2.0
233,Gradually I could finally concentrate so I sat with that feeling.,rain,15,6.0,4.0,1.0,morning,overwhelmed,neutral_face,clear,focused,5,11,2.0
234,After a few minutes I kept thinking about other tasks before moving on.,forest,12,8.0,1.0,1.0,night,focused,none,vague,restless,4,13,3.0
235,I noticed my mind kept wandering for a moment.,forest,15,8.0,4.0,5.0,evening,neutral,calm_face,clear,restless,1,9,2.0
236,For some reason I felt mentally drained though I'm not sure why.,rain,18,4.0,1.0,1.0,afternoon,mixed,tired_face,conflicted,overwhelmed,4,12,3.0
237,At one point I started planning my day though I'm not sure why.,cafe,18,6.0,5.0,3.0,night,mixed,tired_face,clear,focused,3,13,3.0
238,I noticed I felt distracted and I wasn't expecting that.,forest,8,8.0,4.0,3.0,afternoon,mixed,,vague,restless,2,10,2.0
239,i noticed it felt like a normal moment so i sat with that feeling.,cafe,8,7.0,3.0,4.0,afternoon,overwhelmed,tired_face,conflicted,neutral,5,14,3.0
240,Strangely I felt mentally drained so I sat with that feeling.,forest,15,6.0,2.0,4.0,evening,neutral,none,conflicted,overwhelmed,3,11,2.0
241,By the end it felt like a normal moment and I wasn't expecting that.,mountain,12,6.0,2.0,4.0,evening,overwhelmed,none,vague,neutral,3,14,3.0
242,At one point my mind became quiet and I tried to notice it.,cafe,12,4.0,3.0,1.0,evening,overwhelmed,none,vague,calm,2,13,3.0
243,during the session my attention improved and i wasn't expecting that.,cafe,10,4.0,5.0,2.0,afternoon,calm,tense_face,conflicted,focused,4,11,2.0
244,After a few minutes the tension eased a bit but it didn't last long.,ocean,15,5.0,3.0,3.0,evening,mixed,,clear,calm,5,14,3.0
245,After a few minutes I started planning my day and I tried to notice it.,cafe,25,7.0,4.0,2.0,evening,calm,,conflicted,focused,5,15,3.0
246,During the session my mind became quiet even if only briefly.,rain,18,7.0,3.0,2.0,morning,restless,tired_face,conflicted,calm,3,11,2.0
248,By the end everything still felt heavy and I wasn't expecting that.,rain,12,6.0,5.0,5.0,morning,restless,none,clear,overwhelmed,1,12,3.0
249,"Honestly some moments felt peaceful, others not but it didn't last long.",forest,20,6.0,1.0,3.0,evening,neutral,neutral_face,vague,mixed,2,12,3.0
250,For some reason I couldn't relax much even if only briefly.,cafe,25,5.0,2.0,5.0,morning,neutral,none,vague,overwhelmed,1,11,2.0
251,After a few minutes things felt ordinary even if only briefly.,forest,25,8.0,4.0,1.0,afternoon,mixed,calm_face,conflicted,neutral,4,11,2.0
252,Strangely teh tension eased a bit and I tried to notice it.,mountain,25,6.0,1.0,4.0,evening,calm,happy_face,clear,calm,1,12,3.0
253,At first I felt mentally drained which surprised me.,rain,8,6.0,4.0,2.0,afternoon,mixed,none,vague,overwhelmed,3,9,2.0
254,I noticed I couldn't relax much and I just observed it.,mountain,20,6.0,1.0,2.0,night,neutral,neutral_face,clear,overwhelmed,1,11,2.0
255,At one point my thoughts were jumping around even if only briefly.,mountain,10,6.0,2.0,1.0,morning,mixed,calm_face,clear,restless,2,12,3.0
256,Gradually my breathing slowed down before moving on. ...,forest,20,4.0,4.0,4.0,afternoon,neutral,calm_face,clear,calm,5,9,2.0
257,Gradually I kept thinking about other tasks for a moment.,ocean,12,5.0,5.0,2.0,night,restless,happy_face,conflicted,restless,2,10,2.0
258,At one point it helped slightly but not completely which surprised me.,mountain,25,8.0,3.0,4.0,night,focused,neutral_face,conflicted,mixed,4,12,3.0
259,During the session I started planning my day before moving on.,ocean,18,8.0,2.0,4.0,afternoon,restless,none,clear,focused,4,11,2.0
260,At one point I couldn't sit still mentally which surprised me.,forest,25,4.0,2.0,5.0,afternoon,overwhelmed,tense_face,vague,restless,1,11,2.0
261,At first I organized my ideas better so I sat with that feeling.,ocean,10,8.0,3.0,3.0,night,overwhelmed,tense_face,vague,focused,3,13,3.0
262,Honestly my thoughts were jumping around and I just observed it.,cafe,12,5.0,3.0,3.0,night,calm,neutral_face,conflicted,restless,2,11,2.0
263,At one point the tension eased a bit for a moment.,rain,10,7.0,5.0,2.0,night,neutral,none,vague,calm,3,11,2.0
264,honestly my mind felt crowded though i'm not sure why.,mountain,18,4.0,5.0,1.0,morning,mixed,,clear,overwhelmed,4,10,2.0
265,At first I started planning my day which surprised me. ...,ocean,20,8.0,4.0,4.0,morning,calm,tired_face,clear,focused,1,11,2.0
266,At one point the session passed quietly which surprised me.,rain,10,4.0,1.0,5.0,afternoon,focused,happy_face,vague,neutral,3,10,2.0
267,At first I kept thinking about other tasks and I tried to notice it.,mountain,12,4.0,1.0,1.0,night,overwhelmed,tired_face,clear,restless,1,14,3.0
268,At first it helped slightly but not completely and I tried to notice it.,ocean,8,8.0,1.0,2.0,afternoon,mixed,tired_face,vague,mixed,1,14,3.0
269,at one point the tension eased a bit which surprised me. ...,rain,10,8.0,2.0,4.0,morning,restless,neutral_face,conflicted,calm,4,12,3.0
270,For some reason it helped slightly but not completely but it didn't last long. ...,cafe,20,6.0,1.0,1.0,night,focused,tense_face,conflicted,mixed,5,15,3.0
271,For some reason nothing really changed and I wasn't expecting that.,mountain,18,7.0,4.0,2.0,night,calm,tense_face,clear,neutral,1,11,2.0
272,Strangely my mind became quiet but it didn't last long.,rain,8,6.0,4.0,3.0,evening,calm,neutral_face,vague,calm,4,10,2.0
273,at one point i didn't notice strong emotions and i just observed it. ...,cafe,18,6.0,4.0,1.0,evening,overwhelmed,calm_face,conflicted,neutral,5,14,3.0
274,at one point i started planning my day and i tried to notice it.,cafe,10,4.0,2.0,4.0,evening,overwhelmed,calm_face,vague,focused,3,14,3.0
275,Gradually my attention improved so I sat with that feeling. ...,mountain,15,6.0,5.0,4.0,evening,overwhelmed,none,conflicted,focused,2,11,2.0
276,Gradually I couldn't sit still mentally before moving on.,rain,12,7.0,5.0,2.0,evening,overwhelmed,tired_face,vague,restless,1,9,2.0
277,Gradually things felt ordinary but it didn't last long.,ocean,15,5.0,4.0,3.0,morning,overwhelmed,neutral_face,conflicted,neutral,3,9,2.0
278,strangely i organized my ideas better and i tried to notice it.,rain,15,8.0,5.0,4.0,morning,restless,happy_face,conflicted,focused,1,12,3.0
279,for some reason my thoughts felt lighter for a moment.,ocean,15,6.0,4.0,1.0,morning,calm,happy_face,conflicted,calm,5,10,2.0
280,Gradually it felt like a normal moment before moving on.,cafe,20,8.0,2.0,3.0,morning,overwhelmed,tired_face,clear,neutral,1,10,2.0
282,strangely i couldn't sit still mentally even if only briefly.,forest,15,5.0,4.0,2.0,afternoon,mixed,tired_face,clear,restless,5,10,2.0
283,gradually i organized my ideas better and i tried to notice it.,mountain,20,4.0,5.0,1.0,afternoon,restless,tired_face,clear,focused,3,12,3.0
284,"At one point some moments felt peaceful, others not for a moment.",mountain,12,7.0,5.0,2.0,evening,neutral,none,clear,mixed,3,12,3.0
285,During teh session my breathing slowed down but it didn't last long.,ocean,18,5.0,5.0,4.0,night,focused,happy_face,conflicted,calm,2,12,3.0
286,honestly the session passed quietly but it didn't last long.,ocean,25,6.0,1.0,4.0,afternoon,focused,happy_face,conflicted,neutral,4,10,2.0
287,i noticed i couldn't relax much before moving on.,mountain,10,6.0,1.0,3.0,afternoon,neutral,tired_face,conflicted,overwhelmed,4,9,2.0
288,At first things felt ordinary and I just observed it.,cafe,18,4.0,4.0,5.0,afternoon,overwhelmed,none,clear,neutral,3,10,2.0
289,During the session things felt more peaceful and I just observed it.,mountain,10,5.0,5.0,3.0,night,focused,neutral_face,clear,calm,1,12,3.0
290,At one point the session passed quietly for a moment.,rain,12,8.0,3.0,5.0,morning,focused,tired_face,clear,neutral,3,10,2.0
291,Strangely I felt a little calmer but still distracted but it didn't last long.,ocean,20,7.0,4.0,2.0,evening,mixed,tired_face,clear,mixed,1,14,3.0
292,During the session the pressure didn't really go away before moving on. ...,cafe,25,4.0,4.0,3.0,morning,neutral,tired_face,clear,overwhelmed,4,13,3.0
293,During the session I kept thinking about other tasks even if only briefly.,rain,12,4.0,1.0,1.0,night,calm,neutral_face,vague,restless,4,13,3.0
294,by the end my thoughts felt lighter and i wasn't expecting that.,mountain,20,6.0,3.0,1.0,evening,mixed,neutral_face,clear,calm,4,12,3.0
295,By teh end it helped slightly but not completely and I just observed it.,rain,10,8.0,2.0,5.0,night,calm,,vague,mixed,1,14,3.0
296,Honestly everything still felt heavy so I sat with that feeling.,ocean,12,6.0,3.0,2.0,night,focused,none,clear,overwhelmed,1,11,2.0
297,After a few minutes things felt ordinary but it didn't last long.,cafe,10,7.0,5.0,4.0,afternoon,calm,neutral_face,clear,neutral,5,12,3.0
299,Gradually my attention improved so I sat with that feeling. ...,cafe,25,5.0,4.0,4.0,morning,focused,happy_face,clear,focused,5,11,2.0
300,For some reason my thoughts felt lighter and I tried to notice it.,rain,20,5.0,4.0,1.0,morning,neutral,,vague,calm,2,13,3.0
301,I noticed the tension eased a bit and I wasn't expecting that.,forest,20,7.0,1.0,5.0,afternoon,restless,,clear,calm,5,12,3.0
302,At one point I could finally concentrate and I tried to notice it.,ocean,20,4.0,3.0,4.0,afternoon,calm,tired_face,clear,focused,4,13,3.0
303,after a few minutes the session passed quietly but it didn't last long.,cafe,10,7.0,3.0,5.0,evening,focused,none,vague,neutral,1,13,3.0
304,i noticed things felt more peaceful even if only briefly.,rain,8,7.0,4.0,5.0,evening,calm,happy_face,clear,calm,3,10,2.0
305,At first my attention improved and I just observed it. ...,rain,25,4.0,2.0,1.0,night,restless,neutral_face,clear,focused,1,11,2.0
306,By the end the session passed quietly so I sat with that feeling.,mountain,8,8.0,3.0,1.0,morning,focused,happy_face,clear,neutral,4,13,3.0
307,during the session things felt more peaceful though i'm not sure why.,mountain,12,8.0,3.0,5.0,afternoon,overwhelmed,tired_face,clear,calm,5,12,3.0
308,After a few minutes I organized my ideas better which surprised me.,ocean,8,6.0,1.0,4.0,evening,calm,neutral_face,vague,focused,4,12,3.0
309,During the session my breathing slowed down which surprised me.,ocean,20,6.0,4.0,1.0,morning,neutral,tired_face,clear,calm,5,10,2.0
310,I noticed it felt like a normal moment so I sat with that feeling.,forest,15,6.0,3.0,4.0,evening,focused,,clear,neutral,2,14,3.0
311,Strangely nothing really changed but it didn't last long.,forest,12,5.0,4.0,3.0,night,restless,calm_face,clear,neutral,3,9,2.0
313,by the end nothing really changed before moving on.,cafe,8,5.0,2.0,2.0,night,restless,none,clear,neutral,5,9,2.0
314,at first nothing really changed and i just observed it.,rain,8,6.0,1.0,1.0,night,calm,happy_face,vague,neutral,4,10,2.0
315,I noticed I couldn't relax much but it didn't last long.,forest,15,5.0,1.0,5.0,afternoon,mixed,tired_face,conflicted,overwhelmed,4,11,2.0
316,During the session my mind became quiet but it didn't last long.,forest,10,8.0,1.0,4.0,evening,overwhelmed,tired_face,vague,calm,5,12,3.0
317,i noticed the session passed quietly but it didn't last long. ...,rain,25,6.0,1.0,4.0,evening,neutral,neutral_face,clear,neutral,2,12,3.0
318,During the session my mood shifted back and forth which surprised me.,ocean,25,7.0,3.0,2.0,afternoon,focused,none,conflicted,mixed,3,12,3.0
319,for some reason things felt ordinary for a moment.,forest,25,7.0,5.0,3.0,afternoon,overwhelmed,,clear,neutral,2,9,2.0
320,after a few minutes things felt ordinary before moving on.,ocean,10,6.0,2.0,3.0,morning,calm,none,clear,neutral,1,10,2.0
321,At first the session passed quietly and I tried to notice it.,rain,10,7.0,4.0,3.0,afternoon,mixed,none,conflicted,neutral,3,12,3.0
322,Strangely I organized my ideas better and I wasn't expecting that.,cafe,8,8.0,4.0,5.0,morning,focused,happy_face,clear,focused,5,11,2.0
323,Strangely things felt more peaceful and I just observed it.,mountain,8,6.0,4.0,1.0,evening,focused,calm_face,vague,calm,3,10,2.0
324,After a few minutes my mind became quiet before moving on.,forest,15,7.0,3.0,5.0,night,calm,happy_face,conflicted,calm,2,11,2.0
325,at first my thoughts became clearer and i wasn't expecting that.,mountain,12,5.0,4.0,2.0,morning,neutral,calm_face,vague,focused,5,11,2.0
326,After a few minutes I didn't notice strong emotions but it didn't last long. ...,mountain,12,5.0,2.0,4.0,evening,mixed,neutral_face,clear,neutral,1,15,3.0
327,at one point i couldn't relax much but it didn't last long. ...,cafe,25,8.0,4.0,2.0,morning,calm,none,vague,overwhelmed,1,13,3.0
328,During the session I couldn't relax much before moving on. ...,forest,18,7.0,2.0,3.0,night,restless,calm_face,vague,overwhelmed,4,11,2.0
329,by the end the pressure didn't really go away for a moment.,rain,8,6.0,5.0,4.0,afternoon,neutral,,vague,overwhelmed,5,12,3.0
330,Honestly I felt mentally drained so I sat with that feeling.,cafe,20,4.0,5.0,5.0,afternoon,calm,tired_face,clear,overwhelmed,2,11,2.0
331,strangely my thoughts became clearer and i tried to notice it.,ocean,25,5.0,5.0,3.0,evening,mixed,calm_face,clear,focused,4,11,2.0
332,At one point the session passed quietly and I wasn't expecting that. ...,mountain,20,8.0,5.0,5.0,night,calm,neutral_face,conflicted,neutral,5,13,3.0
333,At first things felt ordinary and I just observed it.,forest,15,6.0,4.0,4.0,night,calm,tired_face,clear,neutral,5,10,2.0
334,After a few minutes I didn't notice strong emotions though I'm not sure why.,mountain,12,6.0,1.0,3.0,evening,restless,tired_face,conflicted,neutral,1,14,3.0
335,During the session I organized my ideas better though I'm not sure why.,ocean,10,7.0,2.0,4.0,night,neutral,calm_face,conflicted,focused,2,13,3.0
336,At one point my mind became quiet but it didn't last long.,rain,10,5.0,2.0,1.0,afternoon,calm,tense_face,conflicted,calm,2,12,3.0
337,Honestly I felt distracted and I tried to notice it. ...,rain,12,7.0,5.0,4.0,afternoon,overwhelmed,tense_face,vague,restless,2,11,2.0
338,during the session my mind kept wandering and i tried to notice it.,forest,10,5.0,2.0,2.0,evening,mixed,calm_face,conflicted,restless,1,13,3.0
339,Strangely I felt mentally drained which surprised me.,ocean,20,6.0,4.0,4.0,evening,overwhelmed,tired_face,vague,overwhelmed,5,8,2.0
340,Gradually nothing really changed which surprised me.,mountain,12,8.0,5.0,5.0,evening,restless,tired_face,clear,neutral,3,7,2.0
342,I noticed my thoughts were jumping around which surprised me.,mountain,12,5.0,5.0,4.0,evening,neutral,neutral_face,conflicted,restless,5,10,2.0
343,At first I organized my ideas better but it didn't last long.,rain,10,6.0,1.0,2.0,evening,focused,tense_face,vague,focused,3,12,3.0
344,Gradually I kept thinking about other tasks before moving on.,rain,18,8.0,5.0,1.0,night,focused,none,vague,restless,5,10,2.0
345,After a few minutes I couldn't sit still mentally but it didn't last long.,mountain,15,5.0,3.0,2.0,morning,overwhelmed,neutral_face,vague,restless,1,14,3.0
346,During the session my thoughts felt lighter but it didn't last long.,mountain,25,4.0,2.0,5.0,night,mixed,tired_face,vague,calm,4,12,3.0
347,At one point my thoughts felt lighter though I'm not sure why.,forest,18,5.0,1.0,1.0,afternoon,focused,tense_face,vague,calm,2,12,3.0
348,at one point the tension eased a bit and i wasn't expecting that.,mountain,12,7.0,5.0,5.0,evening,overwhelmed,neutral_face,vague,calm,4,13,3.0
349,Strangely my thoughts were jumping around which surprised me.,ocean,20,4.0,5.0,5.0,afternoon,calm,none,clear,restless,4,9,2.0
350,At one point my mood shifted back and forth which surprised me.,rain,25,4.0,1.0,1.0,night,overwhelmed,happy_face,vague,mixed,4,12,3.0
352,By the end the tension eased a bit so I sat with that feeling.,mountain,12,7.0,3.0,2.0,morning,neutral,neutral_face,conflicted,calm,4,14,3.0
353,After a few minutes my mind kept wandering and I just observed it.,ocean,10,4.0,5.0,1.0,morning,restless,tired_face,vague,restless,3,13,3.0
354,At first my mind felt crowded which surprised me.,forest,15,4.0,1.0,1.0,morning,focused,neutral_face,vague,overwhelmed,3,9,2.0
355,During the session everything still felt heavy though I'm not sure why.,cafe,15,6.0,4.0,4.0,night,mixed,neutral_face,clear,overwhelmed,2,12,3.0
357,at first i couldn't relax much before moving on.,mountain,20,8.0,5.0,5.0,afternoon,mixed,happy_face,conflicted,overwhelmed,5,9,2.0
358,By the end my mind became quiet though I'm not sure why.,mountain,25,8.0,5.0,1.0,morning,mixed,happy_face,vague,calm,4,12,3.0
359,Honestly I could finally concentrate so I sat with that feeling.,forest,18,7.0,4.0,2.0,morning,overwhelmed,happy_face,vague,focused,1,11,2.0
360,For some reason everything still felt heavy before moving on.,mountain,8,8.0,5.0,1.0,morning,neutral,none,vague,overwhelmed,5,10,2.0
361,Honestly the session passed quietly though I'm not sure why.,ocean,12,8.0,5.0,5.0,night,mixed,none,vague,neutral,1,10,2.0
362,After a few minutes things felt more peaceful though I'm not sure why.,ocean,18,6.0,1.0,1.0,afternoon,overwhelmed,none,conflicted,calm,4,13,3.0
363,gradually my thoughts felt lighter so i sat with that feeling.,rain,25,5.0,3.0,1.0,night,calm,none,conflicted,calm,1,11,2.0
364,Gradually I felt mentally drained but it didn't last long.,mountain,18,7.0,5.0,4.0,afternoon,mixed,none,clear,overwhelmed,1,10,2.0
365,Gradually the pressure didn't really go away even if only briefly.,cafe,20,5.0,3.0,4.0,evening,restless,neutral_face,clear,overwhelmed,4,11,2.0
366,During the session things felt ordinary though I'm not sure why.,cafe,10,5.0,5.0,3.0,evening,mixed,none,conflicted,neutral,2,11,2.0
367,For some reason nothing really changed though I'm not sure why.,cafe,20,7.0,5.0,3.0,night,calm,calm_face,vague,neutral,2,11,2.0
368,By the end things felt more peaceful but it didn't last long.,forest,8,6.0,2.0,5.0,morning,restless,calm_face,conflicted,calm,5,12,3.0
369,I noticed I started planning my day even if only briefly.,cafe,20,4.0,4.0,4.0,night,mixed,happy_face,clear,focused,1,11,2.0
370,By the end my mood shifted back and forth before moving on.,rain,20,6.0,5.0,5.0,afternoon,mixed,tense_face,vague,mixed,2,12,3.0
371,strangely i felt a little calmer but still distracted even if only briefly.,forest,12,5.0,2.0,5.0,evening,calm,none,clear,mixed,1,13,3.0
372,Gradually my thoughts became clearer for a moment.,rain,18,6.0,1.0,3.0,afternoon,focused,happy_face,clear,focused,4,8,2.0
373,I noticed nothing really changed though I'm not sure why.,cafe,12,6.0,2.0,5.0,night,neutral,none,clear,neutral,1,10,2.0
374,Honestly I felt a little calmer but still distracted for a moment. ...,rain,12,7.0,1.0,4.0,evening,neutral,calm_face,conflicted,mixed,3,13,3.0
375,Honestly I didn't notice strong emotions which surprised me.,cafe,8,4.0,2.0,5.0,morning,mixed,,conflicted,neutral,2,9,2.0
376,At first I felt a little calmer but still distracted even if only briefly.,mountain,15,4.0,2.0,1.0,night,mixed,calm_face,clear,mixed,1,14,3.0
377,At one point my thoughts became clearer for a moment.,rain,15,7.0,4.0,3.0,morning,overwhelmed,happy_face,clear,focused,5,10,2.0
378,After a few minutes my breathing slowed down though I'm not sure why.,cafe,12,8.0,1.0,3.0,night,overwhelmed,none,clear,calm,4,13,3.0
379,By the end I started planning my day and I tried to notice it.,cafe,20,5.0,3.0,3.0,morning,neutral,neutral_face,clear,focused,1,14,3.0
380,Gradually my mind became quiet even if only briefly.,cafe,20,6.0,2.0,4.0,afternoon,focused,happy_face,vague,calm,2,9,2.0
381,Gradually my breathing slowed down even if only briefly.,ocean,8,6.0,1.0,2.0,night,restless,none,conflicted,calm,2,9,2.0
382,Gradually my breathing slowed down so I sat with that feeling.,rain,12,8.0,2.0,5.0,evening,restless,neutral_face,clear,calm,3,11,2.0
383,i noticed i could finally concentrate though i'm not sure why.,ocean,15,7.0,3.0,3.0,night,neutral,none,conflicted,focused,1,11,2.0
384,At one point I couldn't sit still mentally and I wasn't expecting that.,ocean,8,8.0,1.0,5.0,night,neutral,calm_face,conflicted,restless,3,13,3.0
385,Honestly it felt like a normal moment though I'm not sure why.,cafe,25,6.0,2.0,4.0,morning,overwhelmed,calm_face,conflicted,neutral,2,12,3.0
386,at one point it felt like a normal moment before moving on.,ocean,25,5.0,4.0,3.0,morning,focused,neutral_face,clear,neutral,3,12,3.0
387,After a few minutes I couldn't sit still mentally even if only briefly.,ocean,15,4.0,1.0,3.0,morning,mixed,none,vague,restless,3,13,3.0
388,Gradually it felt like a normal moment and I tried to notice it.,cafe,25,4.0,5.0,3.0,night,focused,tense_face,vague,neutral,4,13,3.0
389,After a few minutes I felt mentally drained but it didn't last long.,cafe,12,5.0,2.0,2.0,afternoon,restless,calm_face,conflicted,overwhelmed,2,13,3.0
390,At first I couldn't relax much before moving on.,rain,15,4.0,2.0,1.0,afternoon,neutral,neutral_face,conflicted,overwhelmed,5,9,2.0
391,Strangely my breathing slowed down but it didn't last long.,cafe,18,8.0,1.0,3.0,morning,focused,tired_face,vague,calm,2,10,2.0
392,Gradually I started planning my day for a moment.,mountain,12,5.0,3.0,4.0,morning,focused,neutral_face,clear,focused,1,9,2.0
393,At one point I organized my ideas better but it didn't last long.,cafe,18,4.0,5.0,5.0,morning,calm,neutral_face,conflicted,focused,5,13,3.0
394,At one point my mind became quiet though I'm not sure why.,mountain,25,7.0,4.0,3.0,morning,overwhelmed,tired_face,clear,calm,1,12,3.0
395,at one point my thoughts were jumping around and i wasn't expecting that.,cafe,18,8.0,1.0,5.0,morning,overwhelmed,none,vague,restless,4,13,3.0
396,Strangely my thoughts were jumping around for a moment.,forest,12,8.0,3.0,4.0,afternoon,overwhelmed,happy_face,vague,restless,2,9,2.0
397,At one point my thoughts were jumping around and I wasn't expecting that.,cafe,15,5.0,1.0,2.0,night,mixed,calm_face,clear,restless,5,13,3.0
398,at one point i felt mentally drained which surprised me. ...,rain,8,5.0,4.0,5.0,night,calm,,clear,overwhelmed,3,11,2.0
399,After a few minutes my mind became quiet and I tried to notice it.,cafe,18,4.0,2.0,4.0,night,calm,none,conflicted,calm,3,14,3.0
400,Gradually my attention improved even if only briefly.,forest,12,5.0,1.0,2.0,morning,restless,tense_face,conflicted,focused,4,8,2.0
401,By teh end I felt mentally drained which surprised me. ...,cafe,12,8.0,5.0,3.0,evening,restless,neutral_face,vague,overwhelmed,4,11,2.0
402,During the session it felt like a normal moment and I tried to notice it.,forest,12,4.0,5.0,3.0,evening,mixed,tired_face,conflicted,neutral,4,15,3.0
403,Honestly I organized my ideas better for a moment.,rain,15,5.0,2.0,3.0,night,restless,calm_face,conflicted,focused,3,9,2.0
404,at first i organized my ideas better though i'm not sure why.,rain,12,5.0,5.0,3.0,afternoon,mixed,neutral_face,vague,focused,2,12,3.0
405,During the session I started planning my day so I sat with that feeling.,ocean,10,4.0,1.0,1.0,night,neutral,,conflicted,focused,1,14,3.0
406,Gradually the pressure didn't really go away before moving on.,rain,12,7.0,2.0,5.0,evening,overwhelmed,happy_face,clear,overwhelmed,1,10,2.0
407,Honestly things felt ordinary which surprised me.,mountain,10,7.0,1.0,5.0,night,restless,calm_face,conflicted,neutral,2,7,2.0
408,At first the pressure didn't really go away though I'm not sure why.,cafe,10,6.0,4.0,5.0,evening,restless,tired_face,clear,overwhelmed,4,13,3.0
411,After a few minutes my thoughts felt lighter and I wasn't expecting that.,ocean,12,6.0,3.0,3.0,evening,restless,,clear,calm,3,13,3.0
412,By the end my mood shifted back and forth for a moment.,cafe,12,6.0,3.0,5.0,night,mixed,calm_face,vague,mixed,5,12,3.0
413,Strangely I couldn't sit still mentally though I'm not sure why.,mountain,8,4.0,2.0,3.0,afternoon,restless,tense_face,conflicted,restless,3,11,2.0
414,During the session I didn't notice strong emotions though I'm not sure why.,mountain,10,5.0,1.0,2.0,afternoon,mixed,none,conflicted,neutral,1,13,3.0
415,i noticed my thoughts became clearer and i just observed it.,ocean,8,7.0,5.0,1.0,morning,restless,calm_face,conflicted,focused,4,11,2.0
416,By teh end I kept thinking about otehr tasks before moving on.,ocean,8,4.0,3.0,3.0,night,overwhelmed,happy_face,vague,restless,5,12,3.0
417,At one point my mind felt crowded for a moment.,ocean,18,7.0,5.0,5.0,evening,restless,neutral_face,clear,overwhelmed,4,10,2.0
418,I noticed I kept thinking about otehr tasks but it didn't last long.,rain,25,5.0,3.0,3.0,night,neutral,,vague,restless,4,13,3.0
419,I noticed I kept thinking about otehr tasks for a moment.,forest,15,8.0,4.0,4.0,afternoon,focused,none,vague,restless,4,11,2.0
420,At first I organized my ideas better so I sat with that feeling.,rain,20,6.0,3.0,5.0,evening,overwhelmed,calm_face,clear,focused,2,13,3.0
421,Honestly I felt distracted before moving on.,forest,8,5.0,1.0,5.0,morning,focused,tense_face,vague,restless,2,7,2.0
423,at first i felt distracted before moving on.,mountain,15,4.0,1.0,2.0,night,overwhelmed,calm_face,clear,restless,4,8,2.0
424,At one point I felt a little calmer but still distracted before moving on.,forest,10,4.0,5.0,5.0,morning,restless,tense_face,clear,mixed,3,14,3.0
425,At first my thoughts felt lighter and I tried to notice it.,ocean,8,7.0,2.0,1.0,morning,neutral,tired_face,conflicted,calm,5,12,3.0
426,At first I started planning my day but it didn't last long.,rain,25,4.0,1.0,3.0,afternoon,mixed,calm_face,clear,focused,4,12,3.0
427,At one point I could finally concentrate before moving on.,rain,20,5.0,3.0,1.0,night,mixed,tense_face,conflicted,focused,4,10,2.0
428,Strangely my attention improved though I'm not sure why.,cafe,18,8.0,2.0,1.0,afternoon,overwhelmed,tense_face,conflicted,focused,3,9,2.0
